Target,Group1,Group2,change_type,changes
5_6_DiHETrE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.412011093211304, 'new': 0.412}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.931763779030807, 'new': 0.9318}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,FMT,NGBB,edited,"{'P_Value': {'old': 0.379137682182877, 'new': 0.3791}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,FMT,Placebo,edited,"{'P_Value': {'old': 0.473651889217206, 'new': 0.4737}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.753304658566143, 'new': 0.7533}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.849548142402873, 'new': 0.8495}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.999741087911508, 'new': 0.9997}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,Chow control,FMT,edited,"{'P_Value': {'old': 0.62381215401848, 'new': 0.6238}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.172405271493133, 'new': 0.1724}, 'q_value': {'old': 0.963840494174207, 'new': 0.9638110236220472}}"
8_12_iso_iPF2a_VI,Chow control,NGBB,edited,"{'P_Value': {'old': 0.369279311586574, 'new': 0.3693}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,Chow control,Placebo,edited,"{'P_Value': {'old': 0.562321258047655, 'new': 0.5623}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.980237942603036, 'new': 0.9802}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,FMT,NGBB,edited,"{'P_Value': {'old': 0.999610699988144, 'new': 0.9996}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,FMT,Placebo,edited,"{'P_Value': {'old': 0.999990015403943, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.994283965330742, 'new': 0.9943}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.948270376371908, 'new': 0.9483}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_12_iso_iPF2a_VI,NGBB,Placebo,edited,"{'P_Value': {'old': 0.997614418260292, 'new': 0.9976}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,Chow control,FMT,edited,"{'P_Value': {'old': 0.728955659374214, 'new': 0.729}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
8_9_DiHETrE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.998601308944208, 'new': 0.9986}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
