Target,Group1,Group2,change_type,changes
16_HDoHE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.116408101702219, 'new': 0.11503496229473924}, 'q_value': {'old': 0.471712430791715, 'new': 0.4662036781288558}}"
16_HDoHE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.0280650721827192, 'new': 0.03023902101614863}, 'q_value': {'old': 0.223081342990845, 'new': 0.2403614491027199}}"
16_HDoHE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.482416448360721, 'new': 0.4824164483607208}, 'q_value': {'old': 0.819651789448473, 'new': 0.8127668423468666}}"
16_HDoHE,FMT,NGBB,edited,"{'P_Value': {'old': 0.791415284062343, 'new': 0.7914152840623428}, 'q_value': {'old': 0.977445171551101, 'new': 0.9772242988307859}}"
16_HDoHE,FMT,Placebo,edited,"{'P_Value': {'old': 1.0, 'new': 0.9999999999999999}}"
16_HDoHE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.565783926666953, 'new': 0.5587598228708937}, 'q_value': {'old': 0.883592026532772, 'new': 0.872622393400388}}"
16_HDoHE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.346999211583947, 'new': 0.3401043685615801}, 'q_value': {'old': 0.724375458525411, 'new': 0.7102647763122479}}"
16_HDoHE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.796935778359927, 'new': 0.792812616632073}, 'q_value': {'old': 0.982306526010248, 'new': 0.9772242988307859}}"
17_HDoHE,Chow control,FMT,edited,"{'P_Value': {'old': 0.0692559074912016, 'new': 0.06925590749120161}, 'q_value': {'old': 0.35486498053343, 'new': 0.3557664099329287}}"
17_HDoHE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.486502997608126, 'new': 0.4790843272053482}, 'q_value': {'old': 0.819651789448473, 'new': 0.8093522693932313}}"
17_HDoHE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.519032309279987, 'new': 0.5114059218501164}, 'q_value': {'old': 0.860427892389284, 'new': 0.8477852180402998}}"
17_HDoHE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.151274679912451, 'new': 0.14856177489186861}, 'q_value': {'old': 0.521057230809553, 'new': 0.5197405172895369}}"
17_HDoHE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.0170675557672462, 'new': 0.01706755576724617}, 'q_value': {'old': 0.167966421836391, 'new': 0.1706755576724617}}"
17_HDoHE,FMT,NGBB,edited,"{'P_Value': {'old': 0.0441176470588235, 'new': 0.04411764705882353}, 'q_value': {'old': 0.268166089965398, 'new': 0.2735294117647059}}"
17_HDoHE,FMT,Placebo,edited,"{'P_Value': {'old': 0.0113750628456511, 'new': 0.01137506284565108}, 'q_value': {'old': 0.123728753759714, 'new': 0.13060257341303091}}"
17_HDoHE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.346999211583947, 'new': 0.3401043685615801}, 'q_value': {'old': 0.724375458525411, 'new': 0.7102647763122479}}"
17_HDoHE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.211496674008452, 'new': 0.20706115487008625}, 'q_value': {'old': 0.630422778294425, 'new': 0.6175685519853519}}"
17_HDoHE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.270316628675762, 'new': 0.26429152373398135}, 'q_value': {'old': 0.659827991255796, 'new': 0.6451210421853089}}"
19_20_DiHDPA,Chow control,FMT,edited,"{'P_Value': {'old': 0.0345651080945199, 'new': 0.03456510809451986}, 'q_value': {'old': 0.249190314169794, 'new': 0.2567691365337619}}"
19_20_DiHDPA,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.0594980467103229, 'new': 0.060498190718590784}, 'q_value': {'old': 0.326449459826551, 'new': 0.33193697562412644}}"
19_20_DiHDPA,Chow control,NGBB,edited,"{'P_Value': {'old': 0.0335964345252271, 'new': 0.03561636409984439}, 'q_value': {'old': 0.249190314169794, 'new': 0.2567691365337619}}"
19_20_DiHDPA,Chow control,Placebo,edited,"{'P_Value': {'old': 0.101415869991721, 'new': 0.10066768749863966}, 'q_value': {'old': 0.433575942853479, 'new': 0.43343032117469854}}"
19_20_DiHDPA,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.261411447169961, 'new': 0.2614114471699611}, 'q_value': {'old': 0.65884185872104, 'new': 0.6451210421853089}}"
19_20_DiHDPA,FMT,NGBB,edited,"{'P_Value': {'old': 0.658999497234791, 'new': 0.6589994972347913}, 'q_value': {'old': 0.909977034043587, 'new': 0.9099770340435871}}"
19_20_DiHDPA,FMT,Placebo,edited,"{'P_Value': {'old': 0.210910005027652, 'new': 0.2109100050276521}, 'q_value': {'old': 0.630422778294425, 'new': 0.6175685519853519}}"
19_20_DiHDPA,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.379339061799689, 'new': 0.37217143978212575}, 'q_value': {'old': 0.737966261071055, 'new': 0.7310095462148736}}"
19_20_DiHDPA,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.607524122129049, 'new': 0.6008776409544788}, 'q_value': {'old': 0.890460888226975, 'new': 0.8807190009261865}}"
19_20_DiHDPA,NGBB,Placebo,edited,"{'P_Value': {'old': 0.193186586375441, 'new': 0.18908180596451618}, 'q_value': {'old': 0.6079983936689, 'new': 0.59507979542132}}"
1_OG_2_OG,Chow control,FMT,edited,"{'P_Value': {'old': 0.0692559074912016, 'new': 0.06925590749120161}, 'q_value': {'old': 0.35486498053343, 'new': 0.3557664099329287}}"
1_OG_2_OG,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.037417959614756, 'new': 0.03922845038753884}, 'q_value': {'old': 0.263626533649417, 'new': 0.2735294117647059}}"
1_OG_2_OG,Chow control,NGBB,edited,"{'P_Value': {'old': 0.0083296476485331, 'new': 0.010439075899985922}, 'q_value': {'old': 0.0974411611715193, 'new': 0.12211749166021267}}"
1_OG_2_OG,Chow control,Placebo,edited,"{'P_Value': {'old': 0.0010404971705281, 'new': 0.0020269456469727064}, 'q_value': {'old': 0.0208099434105626, 'new': 0.03808200912494176}}"
1_OG_2_OG,FMT,FMT_NGBB,unchanged,{}
1_OG_2_OG,FMT,NGBB,edited,"{'P_Value': {'old': 0.860105580693816, 'new': 0.8601055806938159}, 'q_value': {'old': 0.998624456985329, 'new': 0.9986244569853293}}"
1_OG_2_OG,FMT,Placebo,edited,"{'P_Value': {'old': 0.478946706887883, 'new': 0.4789467068878833}, 'q_value': {'old': 0.819651789448473, 'new': 0.8093522693932313}}"
1_OG_2_OG,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.832752252458808, 'new': 0.8294475889935782}, 'q_value': {'old': 0.998624456985329, 'new': 0.9986244569853293}}"
1_OG_2_OG,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.449136810154444, 'new': 0.4417022877906004}, 'q_value': {'old': 0.797893473626806, 'new': 0.7846860126939034}}"
1_OG_2_OG,NGBB,Placebo,edited,"{'P_Value': {'old': 0.365308066546457, 'new': 0.35793336989339997}, 'q_value': {'old': 0.737966261071055, 'new': 0.7310095462148736}}"
5_HETrE,Chow control,FMT,edited,"{'P_Value': {'old': 0.425150829562594, 'new': 0.42515082956259426}, 'q_value': {'old': 0.775275042143554, 'new': 0.7740265621658066}}"
5_HETrE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.235116613094807, 'new': 0.23008418191625113}, 'q_value': {'old': 0.652568829416492, 'new': 0.642577444991332}}"
5_HETrE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.519032309279987, 'new': 0.5114059218501164}, 'q_value': {'old': 0.860427892389284, 'new': 0.8477852180402998}}"
5_HETrE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.270316628675762, 'new': 0.26429152373398135}, 'q_value': {'old': 0.659827991255796, 'new': 0.6451210421853089}}"
5_HETrE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.9018020163531, 'new': 0.9018020163530999}}"
5_HETrE,FMT,NGBB,edited,"{'P_Value': {'old': 0.791415284062343, 'new': 0.7914152840623428}, 'q_value': {'old': 0.977445171551101, 'new': 0.9772242988307859}}"
5_HETrE,FMT,Placebo,edited,"{'P_Value': {'old': 0.929801407742584, 'new': 0.9298014077425841}}"
5_HETrE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.486502997608126, 'new': 0.4790843272053482}, 'q_value': {'old': 0.819651789448473, 'new': 0.8093522693932313}}"
5_HETrE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.880111946204287, 'new': 0.8777166830732149}}"
5_HETrE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.699353020560451, 'new': 0.6935883744907081}, 'q_value': {'old': 0.94672242957965, 'new': 0.938918760227596}}"
8iso_PGA1,Chow control,FMT,edited,"{'P_Value': {'old': 0.246292106586224, 'new': 0.24629210658622425}, 'q_value': {'old': 0.652568829416492, 'new': 0.6451210421853089}}"
8iso_PGA1,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.525398682620381, 'new': 0.5181302014501532}, 'q_value': {'old': 0.860949601044084, 'new': 0.8498431875637434}}"
8iso_PGA1,Chow control,NGBB,unchanged,{}
8iso_PGA1,Chow control,Placebo,edited,"{'P_Value': {'old': 0.0399755043717892, 'new': 0.04178899680298453}, 'q_value': {'old': 0.263668220324567, 'new': 0.2735294117647059}}"
