"Group","count","cell","group","time","repeats","injectionID","X11_12_DiHETrE","X12_13_DiHODE","X12_13_DiHOME","X12_HHTrE","X14_HDoHE","X19_20_DiHDPA","X5_6_DiHETrE","X8iso_PGA1","X9_10_13_TriHOME","X9_12_13_TriHOME","X9_HODE","CA","DHEA","EPEA","FA22.5_w3","FA22.5_w6","FA22.6_w3","GLCA","HCA","PGE2","PGK2","TCA","TLCA","delta17_6_keto_PGF1a","LPA14.0","LPA16.1","LPA18.1","LPA20.3","LPA20.4","LPA22.6","LPI18.0","LPI18.1","LPS16.0","LPS18.0","LPS18.1","Sphingosine1P16.1","cLPA18.0","cLPA18.1"
"38c12",50,"HCC38","Control",12,1,"2505MED_0050_A1",-7.96578428466209,-3.73696559416621,-1.61705613043101,-6.64385618977472,-4.13289427049735,-8.38082178394093,-8.96578428466209,-4.68038206579984,3.76691313440974,2.79035501371084,-4.57346686188333,-6.265344566521,-6.79585928321977,-7.96578428466209,-8.96578428466209,-8.96578428466209,-1.31473259348316,-2.53115605702536,0.252173413202027,-7.15842936260448,-2.48196850739783,-4.47393118833241,-1.49817873457909,-5.21089678249862,-7.38082178394093,-3.52284078881336,-2.09541956507868,-7.64385618977472,-2.06491747668134,-3.92139016530363,-0.655171503002559,-0.921390165303633,-4.15842936260448,-0.833927324053294,-1.43440282414577,-4.13289427049735,-4.15842936260448,-4.0350469470992
"38c12",51,"HCC38","Control",12,2,"2505MED_0051_A1",-7.64385618977472,-3.53951952995999,-1.64385618977472,-6.50635266602479,-4.05889368905357,-7.64385618977472,-9.96578428466209,-5.265344566521,3.852098743282,2.69398867721952,-4.608232280044,-6.15842936260448,-6.38082178394093,-7.64385618977472,-8.96578428466209,-9.96578428466209,-1.41503749927884,-2.75633091903314,1.13290581201151,-7.38082178394093,-2.97709959788992,-4.38082178394093,-1.36959452851768,-5.05889368905357,-7.64385618977472,-3.75633091903314,-2.30044836747691,-7.38082178394093,-2.27229732716276,-3.79585928321977,-0.461958546666336,-1.02034044828418,-2.59946207041627,-0.72499295250013,-1.19099722506091,-4.10780328953452,-4.23786383009889,-3.57346686188333
"38c12",52,"HCC38","Control",12,3,"2505MED_0052_A1",-7.38082178394093,-3.42662547355406,-1.52284078881336,-5.96578428466209,-4.08314123530025,-7.96578428466209,-8.96578428466209,-4.83650126771712,3.89685307289671,2.7982579326445,-4.265344566521,-5.96578428466209,-6.50635266602479,-7.96578428466209,-8.96578428466209,-8.96578428466209,-0.800877357986399,-2.68038206579984,1.17248751551013,-7.15842936260448,-3.0350469470992,-4.44222232860507,-1.38458370273713,-4.96578428466209,-7.15842936260448,-3.25153876699596,-2.23786383009889,-7.96578428466209,-1.9105018491609,-3.29335894269059,-0.450084446378045,-1.17462139610707,-3.0350469470992,-1.23786383009889,-1.28630418515664,-4.13289427049735,-3.38082178394093,-4.01158797427521
"38c12",53,"HCC38","Control",12,4,"2505MED_0053_A1",-12.2114025414141,-3.13289427049735,-1.40736357139342,-6.64385618977472,-4.13289427049735,-7.96578428466209,-8.96578428466209,-4.44222232860507,3.9061209529971,2.91609442293836,-4.23786383009889,-6.05889368905357,-6.38082178394093,-7.64385618977472,-8.96578428466209,-9.96578428466209,-1.22095044716254,-2.82623293226329,1.40490312214513,-7.38082178394093,-2.77595972578207,-4.21089678249862,-1.45008444637804,-5.05889368905357,-7.15842936260448,-3.59074485331516,-2.35107444054688,-6.96578428466209,-2.13923579737117,-3.77595972578207,-0.783389931257558,-1.29335894269059,-2.51457317282976,-0.57132159005177,-0.766111939825723,-4.05889368905357,-4.0350469470992,-3.44222232860507
"38c12",54,"HCC38","Control",12,5,"2505MED_0054_A1",-7.15842936260448,-3.07096652135414,-1.3621579396759,-6.265344566521,-3.89969509420431,-7.96578428466209,-9.96578428466209,-5.265344566521,4.05788344889963,2.97563018628082,-3.87832144341175,-5.87832144341175,-6.64385618977472,-7.96578428466209,-8.96578428466209,-8.96578428466209,-0.979942347658747,-2.50635266602479,1.41953889151378,-6.79585928321977,-2.29335894269059,-4.23786383009889,-1.23107466443625,-5.15842936260448,-6.50635266602479,-3.08314123530025,-1.8211260418302,-7.15842936260448,-1.65744525452268,-3.18442457113743,-0.248107861595691,-0.951763814347152,-3.59074485331516,-0.932361283124637,-0.888968687611256,-3.87832144341175,-3.59074485331516,-3.66200353648498
"38c18",55,"HCC38","Control",18,1,"2505MED_0055_A1",-7.96578428466209,-3.45798964446339,-1.43830727860169,-7.15842936260448,-3.98850436116217,-8.96578428466209,-6.96578428466209,-4.35107444054688,4.13372790733314,3.1583370271671,-4.50635266602479,-6.05889368905357,-6.15842936260448,-7.64385618977472,-9.96578428466209,-9.96578428466209,-1.84684321193858,-2.53951952995999,1.32481060342048,-6.79585928321977,-2.68038206579984,-4.265344566521,-1.24127043154214,-4.79585928321977,-7.96578428466209,-4.35107444054688,-2.79585928321977,-7.96578428466209,-2.75633091903314,-4.10780328953452,-0.107803289534515,-0.0394882898809755,-2.13923579737117,-0.537424111957796,-0.849440323424619,-4.08314123530025,-4.21089678249862,-5.38082178394093
"38c18",56,"HCC38","Control",18,2,"2505MED_0056_A1",-7.38082178394093,-3.42662547355406,-1.52284078881336,-6.79585928321977,-3.66200353648498,-7.96578428466209,-11.9442837735249,-4.57346686188333,4.05232894028673,2.35219353774503,-4.68038206579984,-5.96578428466209,-6.15842936260448,-7.64385618977472,-8.96578428466209,-8.96578428466209,-1.61705613043101,-2.50635266602479,1.27857955045842,-6.96578428466209,-2.77595972578207,-4.15842936260448,-1.38458370273713,-5.21089678249862,-7.64385618977472,-4.35107444054688,-2.37332724739401,-7.38082178394093,-2.45008444637804,-4.18442457113743,-0.0174170530774094,0.105678077894537,-3.45798964446339,-0.662003536484984,-1.12658049656514,-3.94341647163363,-3.83650126771712,-4.15842936260448
"38c18",57,"HCC38","Control",18,3,"2505MED_0057_A1",-7.64385618977472,-3.47393118833241,-1.40736357139342,-6.38082178394093,-4.0350469470992,-7.38082178394093,-13.8604586085122,-4.7178567712185,4.08627424996482,3.20586165668497,-4.21089678249862,-5.96578428466209,-6.05889368905357,-7.38082178394093,-9.96578428466209,-8.96578428466209,-1.72261030118914,-2.67116353577046,1.35614381022528,-6.50635266602479,-1.67116353577046,-4.01158797427521,-1.32553934843974,-5.05889368905357,-6.64385618977472,-3.77595972578207,-1.11091590140185,-7.15842936260448,-2.05889368905357,-2.92139016530363,0.0551956542421246,-1.31114825613412,-2.51457317282976,-0.741782610463982,-0.2688167584278,-3.85725982788392,-3.32192809488736,-3.73696559416621
"38c18",58,"HCC38","Control",18,4,"2505MED_0058_A1",-7.64385618977472,-3.27928375747887,-1.33642766458248,-6.79585928321977,-3.92139016530363,-6.64385618977472,-12.5621053996124,-4.68038206579984,4.07732846411663,3.12763327972587,-4.57346686188333,-6.05889368905357,-5.96578428466209,-7.64385618977472,-9.96578428466209,-9.96578428466209,-1.8008773579864,-2.39592867633114,1.43242497680476,-6.38082178394093,-1.06190243892591,-4.265344566521,-1.31114825613412,-4.87832144341175,-7.38082178394093,-4.265344566521,-2.19759995988516,-9.96578428466209,-2.20423305221761,-3.59074485331516,-0.256700472111743,-0.432454552356253,-4.0350469470992,-0.504304837375931,-0.539519529959989,-3.94341647163363,-4.68038206579984,-4.47393118833241
"38c18",59,"HCC38","Control",18,5,"2505MED_0059_A1",-7.38082178394093,-3.41119543298445,-1.44614803181887,-6.64385618977472,-3.96578428466209,-7.64385618977472,-11.3670247184837,-3.92139016530363,4.0427318769274,2.92010270703537,-4.68038206579984,-6.05889368905357,-6.05889368905357,-7.15842936260448,-9.96578428466209,-8.96578428466209,-1.59509687785487,-2.79585928321977,1.34653146202802,-6.64385618977472,-1.31473259348316,-4.18442457113743,-1.46593839757888,-4.75633091903314,-6.96578428466209,-3.81603716515741,-2.19759995988516,-7.38082178394093,-2.07704103576383,-3.94341647163363,-0.0634091701760615,-0.918660372548061,-3.27928375747887,-0.862496476250065,-1.89432192210546,-4.0350469470992,-3.608232280044,-3.83650126771712
"38c22",60,"HCC38","Control",22,1,"2505MED_0060_A1",-7.96578428466209,-3.12029423371771,-1.62148837674627,-11.7165223114751,-3.87832144341175,-7.96578428466209,-9.96578428466209,-4.53951952995999,3.94925477085653,3.09895848008817,-4.32192809488736,-6.05889368905357,-5.79585928321977,-7.64385618977472,-9.96578428466209,-9.96578428466209,-2.29335894269059,-2.69899774396719,1.2097652659741,-6.96578428466209,-3.13289427049735,-4.32192809488736,-1.33278908751913,-4.79585928321977,-8.38082178394093,-4.79585928321977,-2.81603716515741,-7.64385618977472,-2.78587519464715,-4.7178567712185,-0.788364746672851,-0.386468347082073,-3.38082178394093,-1.08008791132269,-1.612637459164,-4.265344566521,-11.8186493277186,-5.01158797427521
"38c22",61,"HCC38","Control",22,2,"2505MED_0061_A1",-7.64385618977472,-3.42662547355406,-1.46195854666634,-7.64385618977472,-3.66200353648498,-6.64385618977472,-10.7524861700853,-4.18442457113743,4.29829173062012,3.46100460993347,-4.608232280044,-5.79585928321977,-5.44222232860507,-7.38082178394093,-9.96578428466209,-11.4684665967223,-2.04097178105631,-2.69899774396719,1.49518347790833,-6.64385618977472,-0.766111939825723,-4.10780328953452,-1.23786383009889,-4.68038206579984,-6.64385618977472,-4.53951952995999,-1.93236128312464,-9.96578428466209,-2.46593839757888,-4.10780328953452,-0.388355456626338,-0.0694518807521452,-2.57346686188333,-1.08008791132269,-1.2446850959549,-4.10780328953452,-4.05889368905357,-4.13289427049735
"38c22",62,"HCC38","Control",22,3,"2505MED_0062_A1",-7.38082178394093,-3.50635266602479,-1.56064282152574,-6.79585928321977,-3.92139016530363,-7.15842936260448,-10.8288282714289,-4.7178567712185,4.08321336824898,2.73009646559547,-4.79585928321977,-5.96578428466209,-5.87832144341175,-7.64385618977472,-12.2361115683459,-8.96578428466209,-1.74178261046398,-2.66200353648498,1.34936527759421,-6.64385618977472,-0.924125133024872,-4.29335894269059,-1.48600402063299,-4.83650126771712,-7.96578428466209,-4.75633091903314,-2.94341647163363,-7.96578428466209,-3.0350469470992,-4.53951952995999,-0.628162382669579,-0.512513650651464,-3.13289427049735,-1.0862010350493,-1.10780328953451,-4.23786383009889,-4.83650126771712,-4.608232280044
"38c22",63,"HCC38","Control",22,4,"2505MED_0063_A1",-8.38082178394093,-3.30757280191029,-1.58640591759082,-14.3942289344826,-3.55639334852439,-7.64385618977472,-10.5406360960336,-4.29335894269059,4.11628157307595,2.87617311443746,-4.41119543298445,-6.05889368905357,-5.57346686188333,-7.38082178394093,-9.96578428466209,-12.7249628480576,-1.89432192210546,-2.49817873457909,1.38570712465793,-6.64385618977472,-2.97709959788992,-4.13289427049735,-1.35107444054688,-4.96578428466209,-7.96578428466209,-4.64385618977472,-2.83650126771712,-7.96578428466209,-2.62593428177746,-4.32192809488736,-0.270555993166337,0.252173413202027,-2.94341647163363,-0.369594528517677,-1.1456053222469,-4.23786383009889,-6.05889368905357,-4.68038206579984
"38c22",64,"HCC38","Control",22,5,"2505MED_0064_A1",-7.64385618977472,-3.32192809488736,-1.54793176977619,-7.96578428466209,-4.05889368905357,-7.64385618977472,-8.96578428466209,-4.608232280044,3.99004721957379,3.00557963969985,-4.83650126771712,-5.87832144341175,-5.7178567712185,-7.96578428466209,-9.96578428466209,-9.96578428466209,-1.97709959788992,-2.44222232860507,1.45785691041377,-6.79585928321977,-2.69899774396719,-4.32192809488736,-1.25153876699596,-4.87832144341175,-7.96578428466209,-4.75633091903314,-2.36587144247496,-8.38082178394093,-2.97709959788992,-4.47393118833241,-0.982790709967777,-0.330973234490369,-3,-1.40354186044101,-1.40354186044101,-4.15842936260448,-4.79585928321977,-4.64385618977472
