sample_id,rt_start,rt_end,area,data_points,run_start_time,name,class,parent_mz,product_mz
28,27.4,28.4,264.0,29,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
29,28.4,29.4,347.0,36,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
30,29.4,30.4,368.0,38,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
31,30.4,31.4,539.0,47,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
32,31.4,32.4,2128.0,106,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
33,32.4,33.4,861.0,68,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
34,33.4,34.4,1075.0,78,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
35,34.4,35.4,645.0,52,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
36,35.4,36.4,397.0,38,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
37,36.4,37.4,104.0,12,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
38,37.4,38.4,1212.0,82,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
39,38.4,39.4,615.0,62,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
40,39.4,40.4,2632.0,121,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
41,40.4,41.4,428.0,42,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
42,41.4,42.4,2412.0,119,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
43,42.4,43.4,1158.0,80,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
44,43.4,44.4,589.0,51,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
45,44.4,45.4,482.0,49,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
46,45.4,46.4,241.0,25,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
47,46.4,47.4,374.0,28,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
48,47.4,48.4,941.0,70,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
