"Target","Comparison","P_Value","q_value"
"A_CDCA","Placebo-NGBB",0.365308066546457,0.737966261071055
"A_DCA","FMT-Chow control",0.246292106586224,0.652568829416492
"A_DCA","FMT_NGBB-Chow control",0.832752252458808,0.998624456985329
"A_DCA","NGBB-Chow control",0.606317830776035,0.890460888226975
"A_DCA","Placebo-Chow control",0.242648476394606,0.652568829416492
"A_DCA","FMT_NGBB-FMT",0.195562435500516,0.612367222274343
"A_DCA","NGBB-FMT",0.596153846153846,0.890460888226975
"A_DCA","Placebo-FMT",1,1
"A_DCA","NGBB-FMT_NGBB",0.880111946204287,1
"A_DCA","Placebo-FMT_NGBB",0.287547020216289,0.670222377947742
"A_DCA","Placebo-NGBB",0.606317830776035,0.890460888226975
"A_DEA","FMT-Chow control",0.0555555555555556,0.310938468833206
"A_DEA","FMT_NGBB-Chow control",0.260447991905792,0.65884185872104
"A_DEA","NGBB-Chow control",0.365308066546457,0.737966261071055
"A_DEA","Placebo-Chow control",0.270316628675762,0.659827991255796
"A_DEA","FMT_NGBB-FMT",0.261411447169961,0.65884185872104
"A_DEA","NGBB-FMT",0.00590749120160885,0.0732528908999497
"A_DEA","Placebo-FMT",0.328305681246858,0.709043243152349
"A_DEA","NGBB-FMT_NGBB",0.0438791253167347,0.268166089965398
"A_DEA","Placebo-FMT_NGBB",1,1
"A_DEA","Placebo-NGBB",0.0879461096179363,0.406914835545675
"A_DHEA","FMT-Chow control",0.860105580693816,0.998624456985329
"A_DHEA","FMT_NGBB-Chow control",0.316385593138857,0.708155479227767
"A_DHEA","NGBB-Chow control",1,1
"A_DHEA","Placebo-Chow control",0.747658172580773,0.957743940082809
"A_DHEA","FMT_NGBB-FMT",0.591807573231722,0.890460888226975
"A_DHEA","NGBB-FMT",0.929801407742584,1
"A_DHEA","Placebo-FMT",0.536010558069382,0.860949601044084
"A_DHEA","NGBB-FMT_NGBB",0.346999211583947,0.724375458525411
"A_DHEA","Placebo-FMT_NGBB",0.133548508296119,0.498795633395143
"A_DHEA","Placebo-NGBB",0.606317830776035,0.890460888226975
"A_ETAEA","FMT-Chow control",0.0555555555555556,0.310938468833206
"A_ETAEA","FMT_NGBB-Chow control",0.0268002289808724,0.218633446949222
"A_ETAEA","NGBB-Chow control",0.0280650721827192,0.223081342990845
"A_ETAEA","Placebo-Chow control",0.0103822905680491,0.114946788431972
"A_ETAEA","FMT_NGBB-FMT",0.167341430499325,0.561372384830534
"A_ETAEA","NGBB-FMT",0.285444947209653,0.670222377947742
"A_ETAEA","Placebo-FMT",0.425150829562594,0.775275042143554
"A_ETAEA","NGBB-FMT_NGBB",0.927908005307386,1
"A_ETAEA","Placebo-FMT_NGBB",0.739898141971099,0.957696968730859
"A_ETAEA","Placebo-NGBB",0.948729289286565,1
"A_FA18.1_w9","FMT-Chow control",0.150892408245349,0.521057230809553
"A_FA18.1_w9","FMT_NGBB-Chow control",0.0225001812025638,0.199287319222708
"A_FA18.1_w9","NGBB-Chow control",0.00318102949681897,0.049305957200694
"A_FA18.1_w9","Placebo-Chow control",0.00410245069687794,0.0598056754007506
"A_FA18.1_w9","FMT_NGBB-FMT",0.650353258712392,0.909977034043587
"A_FA18.1_w9","NGBB-FMT",0.860105580693816,0.998624456985329
"A_FA18.1_w9","Placebo-FMT",0.791415284062343,0.977445171551101
"A_FA18.1_w9","NGBB-FMT_NGBB",0.832752252458808,0.998624456985329
"A_FA18.1_w9","Placebo-FMT_NGBB",0.975933341123811,1
"A_FA18.1_w9","Placebo-NGBB",0.948729289286565,1
"A_FA18.2_w6","FMT-Chow control",0.000251382604323781,0.00742177212765448
"A_FA18.2_w6","FMT_NGBB-Chow control",2.95840920420272e-06,0.000305702284434281
"A_FA18.2_w6","NGBB-Chow control",3.40217058483312e-05,0.00175778813549711
"A_FA18.2_w6","Placebo-Chow control",1.13405686161104e-05,0.000703115254198846
"A_FA18.2_w6","FMT_NGBB-FMT",0.967135032150512,1
"A_FA18.2_w6","NGBB-FMT",0.724233283056812,0.955371564883455
"A_FA18.2_w6","Placebo-FMT",0.658999497234791,0.909977034043587
"A_FA18.2_w6","NGBB-FMT_NGBB",0.832752252458808,0.998624456985329
"A_FA18.2_w6","Placebo-FMT_NGBB",0.607524122129049,0.890460888226975
"A_FA18.2_w6","Placebo-NGBB",0.519032309279987,0.860427892389284
"A_FA18.3","FMT-Chow control",6.28456510809452e-05,0.00259762024467907
"A_FA18.3","FMT_NGBB-Chow control",1.47920460210136e-06,0.000305702284434281
"A_FA18.3","NGBB-Chow control",2.8351421540276e-06,0.000305702284434281
"A_FA18.3","Placebo-Chow control",3.40217058483312e-05,0.00175778813549711
"A_FA18.3","FMT_NGBB-FMT",0.142216400730333,0.521057230809553
"A_FA18.3","NGBB-FMT",0.179110105580694,0.578376382604324
"A_FA18.3","Placebo-FMT",0.0345651080945199,0.249190314169794
"A_FA18.3","NGBB-FMT_NGBB",0.694702524558494,0.94672242957965
"A_FA18.3","Placebo-FMT_NGBB",0.379339061799689,0.737966261071055
"A_FA18.3","Placebo-NGBB",0.116408101702219,0.471712430791715
"A_FA20.3_w6","FMT-Chow control",0.425150829562594,0.775275042143554
"A_FA20.3_w6","FMT_NGBB-Chow control",0.287547020216289,0.670222377947742
"A_FA20.3_w6","NGBB-Chow control",0.132993683303281,0.498795633395143
"A_FA20.3_w6","Placebo-Chow control",0.652184760543894,0.909977034043587
"A_FA20.3_w6","FMT_NGBB-FMT",1,1
"A_FA20.3_w6","NGBB-FMT",0.658999497234791,0.909977034043587
"A_FA20.3_w6","Placebo-FMT",0.724233283056812,0.955371564883455
"A_FA20.3_w6","NGBB-FMT_NGBB",0.739898141971099,0.957696968730859
"A_FA20.3_w6","Placebo-FMT_NGBB",0.525398682620381,0.860949601044084
"A_FA20.3_w6","Placebo-NGBB",0.438463239546831,0.785685573754437
"A_FA22.5_w3","FMT-Chow control",0.0692559074912016,0.35486498053343
"A_FA22.5_w3","FMT_NGBB-Chow control",0.150667343156238,0.521057230809553
"A_FA22.5_w3","NGBB-Chow control",0.0399755043717892,0.263668220324567
"A_FA22.5_w3","Placebo-Chow control",0.132993683303281,0.498795633395143
"A_FA22.5_w3","FMT_NGBB-FMT",0.967135032150512,1
"A_FA22.5_w3","NGBB-FMT",0.860105580693816,0.998624456985329
"A_FA22.5_w3","Placebo-FMT",0.791415284062343,0.977445171551101
"A_FA22.5_w3","NGBB-FMT_NGBB",0.785948739643719,0.977445171551101
"A_FA22.5_w3","Placebo-FMT_NGBB",0.880111946204287,1
"A_FA22.5_w3","Placebo-NGBB",0.747658172580773,0.957743940082809
"A_FA22.6_w3","FMT-Chow control",0.0555555555555556,0.310938468833206
"A_FA22.6_w3","FMT_NGBB-Chow control",0.00448938596737762,0.063259529540321
"A_FA22.6_w3","NGBB-Chow control",0.000394084759409837,0.00955907527865655
"A_FA22.6_w3","Placebo-Chow control",0.0103822905680491,0.114946788431972
"A_FA22.6_w3","FMT_NGBB-FMT",0.967135032150512,1
"A_FA22.6_w3","NGBB-FMT",0.210910005027652,0.630422778294425
"A_FA22.6_w3","Placebo-FMT",0.860105580693816,0.998624456985329
"A_FA22.6_w3","NGBB-FMT_NGBB",0.117928107697929,0.471712430791715
"A_FA22.6_w3","Placebo-FMT_NGBB",0.486502997608126,0.819651789448473
"A_FA22.6_w3","Placebo-NGBB",0.400923122285351,0.757842487246701
"A_LCA","FMT-Chow control",0.0853443941679236,0.403920033466509
"A_LCA","FMT_NGBB-Chow control",0.037417959614756,0.263626533649417
"A_LCA","NGBB-Chow control",0.400923122285351,0.757842487246701
"A_LCA","Placebo-Chow control",0.0083296476485331,0.0974411611715193
"A_LCA","FMT_NGBB-FMT",0.9018020163531,1
"A_LCA","NGBB-FMT",0.791415284062343,0.977445171551101
"A_LCA","Placebo-FMT",0.929801407742584,1
"A_LCA","NGBB-FMT_NGBB",0.525398682620381,0.860949601044084
"A_LCA","Placebo-FMT_NGBB",0.880111946204287,1
"A_LCA","Placebo-NGBB",0.400923122285351,0.757842487246701
"A_NADA","FMT-Chow control",0.374937154348919,0.737966261071055
